PLOT,SUB_PLOT,FOR_TYPE,PLOT_SBPLOT,SOIL_PC1,SOIL_PC2,veg_MDS1,veg_MDS2,veg_MDS3
107,1,CC,107_1,0.827642567,1.518336529,0.279534053,0.058036171,-0.284128688
107,9,CC,107_9,0.604048913,3.69755326,0.279534053,0.058036171,-0.284128688
107,3,CC,107_3,0.664694224,3.560744839,0.279534053,0.058036171,-0.284128688
107,7,CC,107_7,0.60813608,4.050528915,0.279534053,0.058036171,-0.284128688
107,5,CC,107_5,0.535558644,4.056612101,0.279534053,0.058036171,-0.284128688
119,3,OL,119_3,-1.271774278,0.51156335,-0.96152868,-0.327330507,-0.208193774
119,9,OL,119_9,-2.180307977,2.244269495,-0.96152868,-0.327330507,-0.208193774
119,7,OL,119_7,-1.22654095,-0.162191296,-0.96152868,-0.327330507,-0.208193774
119,1,OL,119_1,-0.970466957,1.171149252,-0.96152868,-0.327330507,-0.208193774
119,5,OL,119_5,-1.197808849,0.62609551,-0.96152868,-0.327330507,-0.208193774
126,7,OL,126_7,0.771433027,0.030917983,-0.454374851,0.056053921,-0.237798816
126,1,OL,126_1,0.667308932,0.642077022,-0.454374851,0.056053921,-0.237798816
126,3,OL,126_3,1.532957702,-0.071394912,-0.454374851,0.056053921,-0.237798816
126,9,OL,126_9,1.450931836,0.169534015,-0.454374851,0.056053921,-0.237798816
126,5,OL,126_5,1.151627982,0.443740446,-0.454374851,0.056053921,-0.237798816
145,5,OC,145_5,0.228883736,0.444583368,0.001809297,0.008812409,-0.15424114
145,1,OC,145_1,0.206345611,1.034187884,0.001809297,0.008812409,-0.15424114
145,7,OC,145_7,1.274198848,1.073764272,0.001809297,0.008812409,-0.15424114
145,9,OC,145_9,-0.113104931,3.714439762,0.001809297,0.008812409,-0.15424114
145,3,OC,145_3,NA,NA,0.001809297,0.008812409,-0.15424114
189,1,CC,189_1,0.119669364,-0.574546393,0.12435385,0.441025435,-0.06440109
189,7,CC,189_7,1.742736455,-1.781233499,0.12435385,0.441025435,-0.06440109
189,9,CC,189_9,2.807846376,-2.065140981,0.12435385,0.441025435,-0.06440109
