Tag_nb.x,For_type,PLOT,S_PLOT,tree_index,Species_full,Species,Species.x,Pos_soil,Bark_thickness_T1,Bark_thickness_T2,Bark_thickness_T3,Bark_thickness_T4,Installment_date,Thickness_bark_fresh1.mm_later,Thickness_bark_fresh2.mm_later,Thickness_bark_dry1.mm_later,Thickness_bark_dry2.mm_later,Bark_Dry_weight_g,Disk_Fresh_weight_g_ini,Disk_Green_volume_ini,Disk_Dry_weight_ini,Disk_Dry_volume_ini,Water_cont_ini.y,WSG_ini.y,Bark_sample_Fresh.weight.1_ini,Bark_sample_Green_volume_ini,Bark_sample_Dry_weight_ini,Bark_sample_Dry_volume_ini,db,dm,dt,L,Coll_No.x,Coll_date.x,Number_days,Fresh_mass_later,Fresh_volume_later,Oven_dry_mass.105.for.60h_later,Oven_dry_volume_later,Water_cont_later.y,WSG_later.y,Per_WSG_loss,volume_log,Wood_density,Log_mass_ini,Log_Bark_Dry_weight_g,Log_No_Bark_Dry_weight_g,Log_mass_final,Bark_sample_Fresh.weight_later,Bark_sample_Green.volume_later,Bark_sample_Dry.weight_later,Bark_sample_Dry.volume_later,ML,ML_percent,m_initial,m_harvest,t,Termi.assum,PLOT_S_PLOT
7100,OC,145,9,1,Litsea_cubeba,Lit_cub,Lit_cub,up,3.69,3.4,3.26,2.64,29/10/2011,1.95,2.05,1.85,2.26,14.19,221.7,334.15,138.02,302.26,0.606288944,0.456626745,3.56,4.73,2.27,4.07,11.9,11.3,11,51,Coll_3,12/13/2012,411,0.33,0.709,0.259,0.772,0.274131274,0.335492228,26.5281257,5162.929279,0.413048032,2132.53778,52.24,392.53,445.52,2.325,2.46,0.75,1.9,1687.01778,79.10845922,2132.53778,445.52,411,0,145_9
7100,OC,145,9,1,Litsea_cubeba,Lit_cub,Lit_cub,down,3.69,3.4,3.26,2.64,29/10/2011,1.95,2.05,1.85,2.26,14.19,221.7,334.15,138.02,302.26,0.606288944,0.456626745,3.56,4.73,2.27,4.07,11.9,11.3,11,51,Coll_2,6/21/2012,236,0.294,0.569,0.244,0.65,0.204918033,0.375384615,17.7918028,5162.929279,0.413048032,2132.53778,52.24,392.53,445.52,2.325,2.46,0.75,1.9,1687.01778,79.10845922,2132.53778,445.52,236,0,145_9
7100,OC,145,9,1,Litsea_cubeba,Lit_cub,Lit_cub,up,3.69,3.4,3.26,2.64,29/10/2011,1.95,2.05,1.85,2.26,14.19,221.7,334.15,138.02,302.26,0.606288944,0.456626745,3.56,4.73,2.27,4.07,11.9,11.3,11,51,Coll_2,6/21/2012,236,0.326,0.6,0.237,0.62,0.375527426,0.382258065,16.2865364,5162.929279,0.413048032,2132.53778,52.24,392.53,445.52,2.325,2.46,0.75,1.9,1687.01778,79.10845922,2132.53778,445.52,236,0,145_9
7100,OC,145,9,1,Litsea_cubeba,Lit_cub,Lit_cub,up,3.69,3.4,3.26,2.64,29/10/2011,1.95,2.05,1.85,2.26,14.19,221.7,334.15,138.02,302.26,0.606288944,0.456626745,3.56,4.73,2.27,4.07,11.9,11.3,11,51,Coll_1,03/03/2012,126,0.23,0.44,0.2,0.49,0.15,0.408163265,10.6133687,5162.929279,0.413048032,2132.53778,52.24,392.53,445.52,2.325,2.46,0.75,1.9,1687.01778,79.10845922,2132.53778,445.52,126,0,145_9
7100,OC,145,9,1,Litsea_cubeba,Lit_cub,Lit_cub,down,3.69,3.4,3.26,2.64,29/10/2011,1.95,2.05,1.85,2.26,14.19,221.7,334.15,138.02,302.26,0.606288944,0.456626745,3.56,4.73,2.27,4.07,11.9,11.3,11,51,Coll_1,03/03/2012,126,0.23,0.37,0.19,0.49,0.210526316,0.387755102,15.0827002,5162.929279,0.413048032,2132.53778,52.24,392.53,445.52,2.325,2.46,0.75,1.9,1687.01778,79.10845922,2132.53778,445.52,126,0,145_9
7100,OC,145,9,1,Litsea_cubeba,Lit_cub,Lit_cub,down,3.69,3.4,3.26,2.64,29/10/2011,1.95,2.05,1.85,2.26,14.19,221.7,334.15,138.02,302.26,0.606288944,0.456626745,3.56,4.73,2.27,4.07,11.9,11.3,11,51,Coll_4,5/24/2013,573,0.163,0.442,0.133,0.442,0.22556391,0.300904977,34.1026385,5162.929279,0.413048032,2132.53778,52.24,392.53,445.52,2.325,2.46,0.75,1.9,1687.01778,79.10845922,2132.53778,445.52,573,0,145_9
7100,OC,145,9,1,Litsea_cubeba,Lit_cub,Lit_cub,down,3.69,3.4,3.26,2.64,29/10/2011,1.95,2.05,1.85,2.26,14.19,221.7,334.15,138.02,302.26,0.606288944,0.456626745,3.56,4.73,2.27,4.07,11.9,11.3,11,51,Coll_3,12/13/2012,411,0.254,0.462,0.183,0.48,0.387978142,0.38125,16.5072996,5162.929279,0.413048032,2132.53778,52.24,392.53,445.52,2.325,2.46,0.75,1.9,1687.01778,79.10845922,2132.53778,445.52,411,0,145_9
7100,OC,145,9,1,Litsea_cubeba,Lit_cub,Lit_cub,down,3.69,3.4,3.26,2.64,29/10/2011,1.95,2.05,1.85,2.26,14.19,221.7,334.15,138.02,302.26,0.606288944,0.456626745,3.56,4.73,2.27,4.07,11.9,11.3,11,51,Coll_5,12/24/2013,787,0.4744,0.7253,0.1345,0.7507,2.527137546,0.179166112,60.763115,5162.929279,0.413048032,2132.53778,52.24,392.53,445.52,2.325,2.46,0.75,1.9,1687.01778,79.10845922,2132.53778,445.52,787,1,145_9
7100,OC,145,9,1,Litsea_cubeba,Lit_cub,Lit_cub,down,3.69,3.4,3.26,2.64,29/10/2011,1.95,2.05,1.85,2.26,14.19,221.7,334.15,138.02,302.26,0.606288944,0.456626745,3.56,4.73,2.27,4.07,11.9,11.3,11,51,Coll_6,12/11/2014,1139,1.5123,1.84,0.24,1.4,5.30125,0.171428571,62.4576149,5162.929279,0.413048032,2132.53778,52.24,392.53,445.52,2.325,2.46,0.75,1.9,1687.01778,79.10845922,2132.53778,445.52,1139,1,145_9
7100,OC,145,9,1,Litsea_cubeba,Lit_cub,Lit_cub,up,3.69,3.4,3.26,2.64,29/10/2011,1.95,2.05,1.85,2.26,14.19,221.7,334.15,138.02,302.26,0.606288944,0.456626745,3.56,4.73,2.27,4.07,11.9,11.3,11,51,Coll_4,5/24/2013,573,0.29,0.602,0.226,0.625,0.283185841,0.3616,20.8105955,5162.929279,0.413048032,2132.53778,52.24,392.53,445.52,2.325,2.46,0.75,1.9,1687.01778,79.10845922,2132.53778,445.52,573,0,145_9
7100,OC,145,9,1,Litsea_cubeba,Lit_cub,Lit_cub,up,3.69,3.4,3.26,2.64,29/10/2011,1.95,2.05,1.85,2.26,14.19,221.7,334.15,138.02,302.26,0.606288944,0.456626745,3.56,4.73,2.27,4.07,11.9,11.3,11,51,Coll_5,12/24/2013,787,0.5743,0.6839,0.2468,0.6676,1.326985413,0.369682445,19.0405625,5162.929279,0.413048032,2132.53778,52.24,392.53,445.52,2.325,2.46,0.75,1.9,1687.01778,79.10845922,2132.53778,445.52,787,1,145_9
