FOR_TYPE,Date,Year,SEASON,median_PAR
Mature forest,01-Jun-12,One,WET,13.7
Mature forest,02-Jun-12,One,WET,13.7
Mature forest,03-Jun-12,One,WET,11.2
Mature forest,04-Jun-12,One,WET,13.7
Mature forest,05-Jun-12,One,WET,6.2
Mature forest,06-Jun-12,One,WET,6.2
Mature forest,07-Jun-12,One,WET,3.7
Mature forest,08-Jun-12,One,WET,11.2
Mature forest,09-Jun-12,One,WET,11.2
Mature forest,10-Jun-12,One,WET,16.2
Mature forest,11-Jun-12,One,WET,11.2
Mature forest,12-Jun-12,One,WET,16.2
Mature forest,13-Jun-12,One,WET,13.7
Mature forest,14-Jun-12,One,WET,12.45
Mature forest,15-Jun-12,One,WET,8.7
Mature forest,16-Jun-12,One,WET,3.7
Mature forest,17-Jun-12,One,WET,6.2
Mature forest,18-Jun-12,One,WET,11.2
Mature forest,19-Jun-12,One,WET,16.2
Mature forest,20-Jun-12,One,WET,13.7
Mature forest,21-Jun-12,One,WET,8.7
Mature forest,22-Jun-12,One,WET,13.7
Mature forest,23-Jun-12,One,WET,8.7
Mature forest,24-Jun-12,One,WET,13.7
Mature forest,25-Jun-12,One,WET,13.7
Mature forest,26-Jun-12,One,WET,7.45
Mature forest,27-Jun-12,One,WET,11.2
Mature forest,28-Jun-12,One,WET,13.7
Mature forest,29-Jun-12,One,WET,16.2
Mature forest,30-Jun-12,One,WET,6.2
Mature forest,01-Jul-12,One,WET,3.7
Mature forest,02-Jul-12,One,WET,9.95
Mature forest,03-Jul-12,One,WET,3.7
Mature forest,04-Jul-12,One,WET,13.7
Mature forest,05-Jul-12,One,WET,8.7
Mature forest,06-Jul-12,One,WET,8.7
Mature forest,07-Jul-12,One,WET,8.7
Mature forest,08-Jul-12,One,WET,13.7
Mature forest,09-Jul-12,One,WET,11.2
Mature forest,10-Jul-12,One,WET,13.7
Mature forest,11-Jul-12,One,WET,11.2
Mature forest,12-Jul-12,One,WET,3.7
Mature forest,13-Jul-12,One,WET,11.2
Mature forest,14-Jul-12,One,WET,3.7
Mature forest,15-Jul-12,One,WET,6.2
Mature forest,16-Jul-12,One,WET,6.2
Mature forest,17-Jul-12,One,WET,1.2
Mature forest,18-Jul-12,One,WET,3.7
Mature forest,19-Jul-12,One,WET,3.7
Mature forest,20-Jul-12,One,WET,11.2
Mature forest,21-Jul-12,One,WET,11.2
Mature forest,22-Jul-12,One,WET,8.7
Mature forest,23-Jul-12,One,WET,3.7
Mature forest,24-Jul-12,One,WET,11.2
Mature forest,25-Jul-12,One,WET,3.7
Mature forest,26-Jul-12,One,WET,1.2
Mature forest,27-Jul-12,One,WET,8.7
Mature forest,28-Jul-12,One,WET,6.2
Mature forest,29-Jul-12,One,WET,16.2
Mature forest,30-Jul-12,One,WET,16.2
Mature forest,31-Jul-12,One,WET,6.2
Mature forest,01-Aug-12,One,WET,11.2
Mature forest,02-Aug-12,One,WET,1.2
Mature forest,03-Aug-12,One,WET,6.2
Mature forest,04-Aug-12,One,WET,16.2
Mature forest,05-Aug-12,One,WET,13.7
Mature forest,06-Aug-12,One,WET,11.2
Mature forest,07-Aug-12,One,WET,3.7
Mature forest,08-Aug-12,One,WET,11.2
Mature forest,09-Aug-12,One,WET,11.2
Mature forest,10-Aug-12,One,WET,11.2
Mature forest,11-Aug-12,One,WET,8.7
Mature forest,12-Aug-12,One,WET,16.2
Mature forest,13-Aug-12,One,WET,18.7
Mature forest,14-Aug-12,One,WET,8.7
Mature forest,15-Aug-12,One,WET,11.2
Mature forest,16-Aug-12,One,WET,13.7
Mature forest,17-Aug-12,One,WET,16.2
Mature forest,18-Aug-12,One,WET,8.7
Mature forest,19-Aug-12,One,WET,3.7
Mature forest,20-Aug-12,One,WET,8.7
Mature forest,21-Aug-12,One,WET,12.45
Mature forest,22-Aug-12,One,WET,1.2
Mature forest,23-Aug-12,One,WET,11.2
Mature forest,24-Aug-12,One,WET,8.7
Mature forest,25-Aug-12,One,WET,8.7
Mature forest,26-Aug-12,One,WET,8.7
Mature forest,27-Aug-12,One,WET,8.7
Mature forest,28-Aug-12,One,WET,16.2
Mature forest,29-Aug-12,One,WET,21.2
Mature forest,30-Aug-12,One,WET,3.7
Mature forest,31-Aug-12,One,WET,8.7
Mature forest,01-Feb-13,One,DRY,8.7
Mature forest,02-Feb-13,One,DRY,13.7
Mature forest,03-Feb-13,One,DRY,8.7
Mature forest,04-Feb-13,One,DRY,13.7
Mature forest,05-Feb-13,One,DRY,8.7
Mature forest,06-Feb-13,One,DRY,8.7
Mature forest,07-Feb-13,One,DRY,8.7
Mature forest,08-Feb-13,One,DRY,8.7
Mature forest,09-Feb-13,One,DRY,11.2
Mature forest,10-Feb-13,One,DRY,11.2
Mature forest,11-Feb-13,One,DRY,11.2
Mature forest,12-Feb-13,One,DRY,12.45
Mature forest,13-Feb-13,One,DRY,8.7
Mature forest,14-Feb-13,One,DRY,13.7
Mature forest,15-Feb-13,One,DRY,12.45
Mature forest,16-Feb-13,One,DRY,13.7
Mature forest,17-Feb-13,One,DRY,14.95
Mature forest,18-Feb-13,One,DRY,7.45
Mature forest,19-Feb-13,One,DRY,11.2
Mature forest,20-Feb-13,One,DRY,18.7
Mature forest,21-Feb-13,One,DRY,16.2
Mature forest,22-Feb-13,One,DRY,8.7
Mature forest,23-Feb-13,One,DRY,8.7
Mature forest,24-Feb-13,One,DRY,8.7
Mature forest,25-Feb-13,One,DRY,16.2
Mature forest,26-Feb-13,One,DRY,16.2
Mature forest,27-Feb-13,One,DRY,16.2
Mature forest,28-Feb-13,One,DRY,18.7
Mature forest,01-Mar-13,One,DRY,21.2
Mature forest,02-Mar-13,One,DRY,17.45
Mature forest,03-Mar-13,One,DRY,8.7
Mature forest,04-Mar-13,One,DRY,6.2
Mature forest,05-Mar-13,One,DRY,13.7
Mature forest,06-Mar-13,One,DRY,6.2
Mature forest,07-Mar-13,One,DRY,8.7
Mature forest,08-Mar-13,One,DRY,1.2
Mature forest,09-Mar-13,One,DRY,23.7
Mature forest,10-Mar-13,One,DRY,26.2
Mature forest,11-Mar-13,One,DRY,36.2
Mature forest,12-Mar-13,One,DRY,19.95
Mature forest,13-Mar-13,One,DRY,33.7
Mature forest,14-Mar-13,One,DRY,31.2
Mature forest,15-Mar-13,One,DRY,34.95
Mature forest,16-Mar-13,One,DRY,38.7
Mature forest,17-Mar-13,One,DRY,91.2
Mature forest,18-Mar-13,One,DRY,43.7
Mature forest,19-Mar-13,One,DRY,36.2
Mature forest,20-Mar-13,One,DRY,28.7
Mature forest,21-Mar-13,One,DRY,29.95
Mature forest,22-Mar-13,One,DRY,33.7
Mature forest,23-Mar-13,One,DRY,46.2
Mature forest,24-Mar-13,One,DRY,38.7
Mature forest,25-Mar-13,One,DRY,53.7
Mature forest,26-Mar-13,One,DRY,33.7
Mature forest,27-Mar-13,One,DRY,27.45
Mature forest,28-Mar-13,One,DRY,28.7
Mature forest,29-Mar-13,One,DRY,33.7
Mature forest,30-Mar-13,One,DRY,32.45
Mature forest,31-Mar-13,One,DRY,31.2
Mature forest,01-Apr-13,One,DRY,21.2
Mature forest,02-Apr-13,One,DRY,26.2
Mature forest,03-Apr-13,One,DRY,23.7
Mature forest,04-Apr-13,One,DRY,27.45
Mature forest,05-Apr-13,One,DRY,23.7
Mature forest,06-Apr-13,One,DRY,24.95
Mature forest,07-Apr-13,One,DRY,21.2
Mature forest,08-Apr-13,One,DRY,21.2
Mature forest,09-Apr-13,One,DRY,21.2
Mature forest,10-Apr-13,One,DRY,18.7
Mature forest,11-Apr-13,One,DRY,23.7
Mature forest,12-Apr-13,One,DRY,22.45
Mature forest,13-Apr-13,One,DRY,21.2
Mature forest,14-Apr-13,One,DRY,16.2
Mature forest,15-Apr-13,One,DRY,18.7
Mature forest,16-Apr-13,One,DRY,18.7
Mature forest,17-Apr-13,One,DRY,23.7
Mature forest,18-Apr-13,One,DRY,13.7
Mature forest,19-Apr-13,One,DRY,16.2
Mature forest,20-Apr-13,One,DRY,11.2
Mature forest,21-Apr-13,One,DRY,16.2
Mature forest,22-Apr-13,One,DRY,18.7
Mature forest,23-Apr-13,One,DRY,16.2
Mature forest,24-Apr-13,One,DRY,13.7
Mature forest,25-Apr-13,One,DRY,13.7
Mature forest,26-Apr-13,One,DRY,11.2
Mature forest,27-Apr-13,One,DRY,13.7
Mature forest,28-Apr-13,One,DRY,16.2
Mature forest,29-Apr-13,One,DRY,13.7
Mature forest,30-Apr-13,One,DRY,13.7
Regenerating forest,01-Jun-12,One,WET,49.95
Regenerating forest,02-Jun-12,One,WET,37.45
Regenerating forest,03-Jun-12,One,WET,48.7
Regenerating forest,04-Jun-12,One,WET,48.7
Regenerating forest,05-Jun-12,One,WET,56.2
Regenerating forest,06-Jun-12,One,WET,51.2
Regenerating forest,07-Jun-12,One,WET,29.95
Regenerating forest,08-Jun-12,One,WET,43.7
Regenerating forest,09-Jun-12,One,WET,23.7
Regenerating forest,10-Jun-12,One,WET,61.2
Regenerating forest,11-Jun-12,One,WET,28.7
Regenerating forest,12-Jun-12,One,WET,41.2
Regenerating forest,13-Jun-12,One,WET,44.95
Regenerating forest,14-Jun-12,One,WET,48.7
Regenerating forest,15-Jun-12,One,WET,26.2
Regenerating forest,16-Jun-12,One,WET,18.7
Regenerating forest,17-Jun-12,One,WET,16.2
Regenerating forest,18-Jun-12,One,WET,26.2
Regenerating forest,19-Jun-12,One,WET,42.45
Regenerating forest,20-Jun-12,One,WET,41.2
Regenerating forest,21-Jun-12,One,WET,24.95
Regenerating forest,22-Jun-12,One,WET,23.7
Regenerating forest,23-Jun-12,One,WET,13.7
Regenerating forest,24-Jun-12,One,WET,38.7
Regenerating forest,25-Jun-12,One,WET,34.95
Regenerating forest,26-Jun-12,One,WET,17.45
Regenerating forest,27-Jun-12,One,WET,24.95
Regenerating forest,28-Jun-12,One,WET,37.45
Regenerating forest,29-Jun-12,One,WET,49.95
Regenerating forest,30-Jun-12,One,WET,18.7
Regenerating forest,01-Jul-12,One,WET,21.2
Regenerating forest,02-Jul-12,One,WET,24.95
Regenerating forest,03-Jul-12,One,WET,33.7
Regenerating forest,04-Jul-12,One,WET,38.7
Regenerating forest,05-Jul-12,One,WET,39.95
Regenerating forest,06-Jul-12,One,WET,41.2
Regenerating forest,07-Jul-12,One,WET,28.7
Regenerating forest,08-Jul-12,One,WET,38.7
Regenerating forest,09-Jul-12,One,WET,19.95
Regenerating forest,10-Jul-12,One,WET,26.2
Regenerating forest,11-Jul-12,One,WET,46.2
Regenerating forest,12-Jul-12,One,WET,9.95
Regenerating forest,13-Jul-12,One,WET,33.7
Regenerating forest,14-Jul-12,One,WET,11.2
Regenerating forest,15-Jul-12,One,WET,18.7
Regenerating forest,16-Jul-12,One,WET,13.7
Regenerating forest,17-Jul-12,One,WET,6.2
Regenerating forest,18-Jul-12,One,WET,8.7
Regenerating forest,19-Jul-12,One,WET,8.7
Regenerating forest,20-Jul-12,One,WET,33.7
Regenerating forest,21-Jul-12,One,WET,34.95
Regenerating forest,22-Jul-12,One,WET,13.7
Regenerating forest,23-Jul-12,One,WET,11.2
Regenerating forest,24-Jul-12,One,WET,31.2
Regenerating forest,25-Jul-12,One,WET,8.7
Regenerating forest,26-Jul-12,One,WET,6.2
Regenerating forest,27-Jul-12,One,WET,28.7
Regenerating forest,28-Jul-12,One,WET,16.2
Regenerating forest,29-Jul-12,One,WET,46.2
Regenerating forest,30-Jul-12,One,WET,41.2
Regenerating forest,31-Jul-12,One,WET,18.7
Regenerating forest,01-Aug-12,One,WET,36.2
Regenerating forest,02-Aug-12,One,WET,3.7
Regenerating forest,03-Aug-12,One,WET,16.2
Regenerating forest,04-Aug-12,One,WET,51.2
Regenerating forest,05-Aug-12,One,WET,43.7
Regenerating forest,06-Aug-12,One,WET,33.7
Regenerating forest,07-Aug-12,One,WET,16.2
Regenerating forest,08-Aug-12,One,WET,51.2
Regenerating forest,09-Aug-12,One,WET,33.7
Regenerating forest,10-Aug-12,One,WET,41.2
Regenerating forest,11-Aug-12,One,WET,43.7
Regenerating forest,12-Aug-12,One,WET,37.45
Regenerating forest,13-Aug-12,One,WET,56.2
Regenerating forest,14-Aug-12,One,WET,26.2
Regenerating forest,15-Aug-12,One,WET,23.7
Regenerating forest,16-Aug-12,One,WET,43.7
Regenerating forest,17-Aug-12,One,WET,51.2
Regenerating forest,18-Aug-12,One,WET,21.2
Regenerating forest,19-Aug-12,One,WET,13.7
Regenerating forest,20-Aug-12,One,WET,31.2
