Station,Date,Year,SEASON,Avg_Soil_Water_Content,Hum_Avg
Mature forest,01-Feb-13,One,DRY,0.064,71.653
Mature forest,02-Feb-13,One,DRY,0.049,87.598
Mature forest,03-Feb-13,One,DRY,0.043,92.809
Mature forest,04-Feb-13,One,DRY,0.038,78.381
Mature forest,05-Feb-13,One,DRY,0.033,61.355
Mature forest,06-Feb-13,One,DRY,0.029,49.804
Mature forest,07-Feb-13,One,DRY,0.025,40.694
Mature forest,08-Feb-13,One,DRY,0.022,45.006
Mature forest,09-Feb-13,One,DRY,0.02,60.302
Mature forest,10-Feb-13,One,DRY,0.019,75.634
Mature forest,11-Feb-13,One,DRY,0.018,75.235
Mature forest,12-Feb-13,One,DRY,0.017,75.968
Mature forest,13-Feb-13,One,DRY,0.017,88.241
Mature forest,14-Feb-13,One,DRY,0.123,88.725
Mature forest,15-Feb-13,One,DRY,0.072,77.793
Mature forest,16-Feb-13,One,DRY,0.046,76.232
Mature forest,17-Feb-13,One,DRY,0.035,80.616
Mature forest,18-Feb-13,One,DRY,0.03,75.766
Mature forest,19-Feb-13,One,DRY,0.026,66.182
Mature forest,20-Feb-13,One,DRY,0.022,69.598
Mature forest,21-Feb-13,One,DRY,0.021,84.108
Mature forest,22-Feb-13,One,DRY,0.02,92.042
Mature forest,23-Feb-13,One,DRY,0.021,98.438
Mature forest,24-Feb-13,One,DRY,0.021,91.484
Mature forest,25-Feb-13,One,DRY,0.018,82.619
Mature forest,26-Feb-13,One,DRY,0.017,58.855
Mature forest,27-Feb-13,One,DRY,0.014,41.433
Mature forest,28-Feb-13,One,DRY,0.012,33.773
Mature forest,01-Mar-13,One,DRY,0.01,32.704
Mature forest,02-Mar-13,One,DRY,0.008,51.619
Mature forest,03-Mar-13,One,DRY,0.008,72.161
Mature forest,04-Mar-13,One,DRY,0.124,99.105
Mature forest,05-Mar-13,One,DRY,0.074,98.343
Mature forest,06-Mar-13,One,DRY,0.052,97.43
Mature forest,07-Mar-13,One,DRY,0.04,94.658
Mature forest,08-Mar-13,One,DRY,0.034,92.964
Mature forest,09-Mar-13,One,DRY,0.148,88.383
Mature forest,10-Mar-13,One,DRY,0.097,61.318
Mature forest,11-Mar-13,One,DRY,0.058,54.493
