SN,Station,Date,Year,SEASON,Temp_Max,Temp_Min,Temp_Avg
1,Mature forest,01-Feb-13,One,DRY,17.296,10.59,13.407
2,Mature forest,02-Feb-13,One,DRY,16.868,11.759,13.551
3,Mature forest,03-Feb-13,One,DRY,16.558,11.929,13.472
4,Mature forest,04-Feb-13,One,DRY,18.485,12.727,15.171
5,Mature forest,05-Feb-13,One,DRY,19.746,12.727,15.871
6,Mature forest,06-Feb-13,One,DRY,21.127,14.768,17.235
7,Mature forest,07-Feb-13,One,DRY,21.867,16.296,18.424
8,Mature forest,08-Feb-13,One,DRY,22.274,15.772,18.246
9,Mature forest,09-Feb-13,One,DRY,21.461,16.201,18.22
10,Mature forest,10-Feb-13,One,DRY,20.865,15.652,17.76
11,Mature forest,11-Feb-13,One,DRY,21.772,16.034,18.399
12,Mature forest,12-Feb-13,One,DRY,22.298,16.034,18.442
13,Mature forest,13-Feb-13,One,DRY,21.246,16.534,18.149
14,Mature forest,14-Feb-13,One,DRY,20.627,12.34,17.159
15,Mature forest,15-Feb-13,One,DRY,21.963,16.82,18.654
16,Mature forest,16-Feb-13,One,DRY,22.729,17.177,19.29
17,Mature forest,17-Feb-13,One,DRY,21.867,17.011,19.023
18,Mature forest,18-Feb-13,One,DRY,20.936,16.415,18.215
19,Mature forest,19-Feb-13,One,DRY,21.175,14.553,17.508
20,Mature forest,20-Feb-13,One,DRY,22.154,16.368,18.559
21,Mature forest,21-Feb-13,One,DRY,21.127,15.414,17.821
22,Mature forest,22-Feb-13,One,DRY,20.055,15.366,16.784
23,Mature forest,23-Feb-13,One,DRY,16.63,13.978,14.932
24,Mature forest,24-Feb-13,One,DRY,20.531,13.329,16.271
25,Mature forest,25-Feb-13,One,DRY,21.103,15.39,18.013
26,Mature forest,26-Feb-13,One,DRY,22.202,16.463,18.989
27,Mature forest,27-Feb-13,One,DRY,23.088,17.201,19.629
28,Mature forest,28-Feb-13,One,DRY,23.304,17.058,20.023
29,Mature forest,01-Mar-13,One,DRY,24.412,17.582,20.831
30,Mature forest,02-Mar-13,One,DRY,24.412,18.675,20.905
31,Mature forest,03-Mar-13,One,DRY,20.579,15.485,18.86
32,Mature forest,04-Mar-13,One,DRY,15.533,13.401,14.304
33,Mature forest,05-Mar-13,One,DRY,16.177,12.243,14.009
34,Mature forest,06-Mar-13,One,DRY,18.247,12.799,15.11
35,Mature forest,07-Mar-13,One,DRY,18.509,14.074,15.901
36,Mature forest,08-Mar-13,One,DRY,17.344,11.2,15.202
37,Mature forest,09-Mar-13,One,DRY,18.889,10.565,14.711
38,Mature forest,10-Mar-13,One,DRY,21.223,15.031,17.004
39,Mature forest,11-Mar-13,One,DRY,20.984,15.533,17.359
40,Mature forest,12-Mar-13,One,DRY,20.722,12.968,16.803
41,Mature forest,13-Mar-13,One,DRY,20.388,14.457,16.757
42,Mature forest,14-Mar-13,One,DRY,22.992,15.772,18.354
43,Mature forest,15-Mar-13,One,DRY,22.729,17.724,19.489
44,Mature forest,16-Mar-13,One,DRY,23.497,17.605,20.293
