SN,Station,Date,SEASON,Temp_Max,Temp_Min,Temp_Avg
1,Mengsong,1-Jun-12,WET,26.6,18.1,21.54
2,Mengsong,2-Jun-12,WET,24.1,17.5,20.21
3,Mengsong,3-Jun-12,WET,25.6,17.9,20.99
4,Mengsong,4-Jun-12,WET,26.7,18.8,21.64
5,Mengsong,5-Jun-12,WET,27.7,17.4,21.03
6,Mengsong,6-Jun-12,WET,28.1,17.9,21.98
7,Mengsong,7-Jun-12,WET,25.9,17.9,21.43
8,Mengsong,8-Jun-12,WET,27.5,18.5,20.85
9,Mengsong,9-Jun-12,WET,25.8,18.8,20.69
10,Mengsong,10-Jun-12,WET,24.7,18.2,20.52
11,Mengsong,11-Jun-12,WET,24.9,18.7,21.09
12,Mengsong,12-Jun-12,WET,25.3,19.7,21.67
13,Mengsong,13-Jun-12,WET,24.5,19.3,21.02
14,Mengsong,14-Jun-12,WET,25.5,19,21.15
15,Mengsong,15-Jun-12,WET,25.3,18,20.64
16,Mengsong,16-Jun-12,WET,22.3,17.7,19.34
17,Mengsong,17-Jun-12,WET,23.2,17.6,19.85
18,Mengsong,18-Jun-12,WET,26.6,17.9,20.62
19,Mengsong,19-Jun-12,WET,24.4,18.8,20.82
20,Mengsong,20-Jun-12,WET,25.2,18.4,20.63
21,Mengsong,21-Jun-12,WET,22.9,18.3,20.12
22,Mengsong,22-Jun-12,WET,23.4,18.4,20.27
23,Mengsong,23-Jun-12,WET,21.7,18.6,19.63
24,Mengsong,24-Jun-12,WET,23.2,17.8,19.35
25,Mengsong,25-Jun-12,WET,22.3,17.9,19.82
26,Mengsong,26-Jun-12,WET,21.3,18.3,19.23
27,Mengsong,27-Jun-12,WET,25.2,18.1,20.19
28,Mengsong,28-Jun-12,WET,25.7,18.1,20.78
29,Mengsong,29-Jun-12,WET,25.9,18,20.68
30,Mengsong,30-Jun-12,WET,24.9,17.3,20.58
31,Mengsong,1-Jul-12,WET,23.3,17.8,19.44
32,Mengsong,2-Jul-12,WET,24.9,17.4,19.81
33,Mengsong,3-Jul-12,WET,24.9,18.1,20.12
34,Mengsong,4-Jul-12,WET,25.8,18.3,21.03
35,Mengsong,5-Jul-12,WET,24.9,17.6,20.45
36,Mengsong,6-Jul-12,WET,27.4,17.7,20.82
37,Mengsong,7-Jul-12,WET,28.4,17.6,21.66
38,Mengsong,8-Jul-12,WET,25.6,18.3,20.53
39,Mengsong,9-Jul-12,WET,25.4,17.7,20.2
40,Mengsong,10-Jul-12,WET,27.3,18.2,21.22
41,Mengsong,11-Jul-12,WET,26.6,19.1,21.38
42,Mengsong,12-Jul-12,WET,25.2,19.2,21.48
43,Mengsong,13-Jul-12,WET,25.5,19.4,21.17
44,Mengsong,14-Jul-12,WET,20.1,18,19.09
45,Mengsong,15-Jul-12,WET,23.8,17.8,19.88
46,Mengsong,16-Jul-12,WET,21.6,18.3,19.67
47,Mengsong,17-Jul-12,WET,19,17.6,18.21
48,Mengsong,18-Jul-12,WET,19.2,17.7,18.31
49,Mengsong,19-Jul-12,WET,20.9,18,18.67
50,Mengsong,20-Jul-12,WET,25.2,17.8,20.27
51,Mengsong,21-Jul-12,WET,25,17.5,20.43
52,Mengsong,22-Jul-12,WET,21.6,18.1,19.5
53,Mengsong,23-Jul-12,WET,19.2,18.2,18.52
54,Mengsong,24-Jul-12,WET,24.7,18,20.47
55,Mengsong,25-Jul-12,WET,21.9,18.7,19.82
56,Mengsong,26-Jul-12,WET,18.8,17.2,17.72
57,Mengsong,27-Jul-12,WET,17.9,16.7,17.31
58,Mengsong,28-Jul-12,WET,19.7,17.1,17.93
59,Mengsong,29-Jul-12,WET,24.3,17.6,19.59
60,Mengsong,30-Jul-12,WET,23.2,17.7,19.78
61,Mengsong,31-Jul-12,WET,20.7,17.6,18.75
62,Mengsong,1-Aug-12,WET,23.2,17.8,19.5
63,Mengsong,2-Aug-12,WET,21.6,17.3,18.7
64,Mengsong,3-Aug-12,WET,21.7,17.1,18.86
65,Mengsong,4-Aug-12,WET,26.1,17.4,19.55
66,Mengsong,5-Aug-12,WET,25.9,17.9,20.68
67,Mengsong,6-Aug-12,WET,24,18.8,20.42
68,Mengsong,7-Aug-12,WET,22.6,18.4,19.7
69,Mengsong,8-Aug-12,WET,24.4,16.7,20.18
70,Mengsong,9-Aug-12,WET,25.2,18,20.11
71,Mengsong,10-Aug-12,WET,26.9,16.8,20.63
72,Mengsong,11-Aug-12,WET,26.4,17.2,20.29
73,Mengsong,12-Aug-12,WET,26.7,18.4,21.32
74,Mengsong,13-Aug-12,WET,25.3,18.5,20.52
75,Mengsong,14-Aug-12,WET,23.1,18.3,19.56
76,Mengsong,15-Aug-12,WET,22.9,17.8,19.28
77,Mengsong,16-Aug-12,WET,25.7,17.8,20.36
78,Mengsong,17-Aug-12,WET,27.6,16.9,21.05
79,Mengsong,18-Aug-12,WET,20.4,17.2,18.88
80,Mengsong,19-Aug-12,WET,19.9,17.4,18.4
81,Mengsong,20-Aug-12,WET,23,17.3,19.15
82,Mengsong,21-Aug-12,WET,23.8,16.7,19.72
83,Mengsong,22-Aug-12,WET,19.8,16.8,18.18
84,Mengsong,23-Aug-12,WET,24.2,16.9,19.18
85,Mengsong,24-Aug-12,WET,23.1,16.1,18.98
86,Mengsong,25-Aug-12,WET,23.6,15.8,18.85
87,Mengsong,26-Aug-12,WET,26.4,15.9,19.47
88,Mengsong,27-Aug-12,WET,25.3,16.2,19.64
89,Mengsong,28-Aug-12,WET,26.3,16.2,20.22
90,Mengsong,29-Aug-12,WET,26.6,16.8,20.48
91,Mengsong,30-Aug-12,WET,24.9,17.3,20.5
92,Mengsong,31-Aug-12,WET,25.4,18.7,20.76
93,Mengsong,1-Mar-13,DRY,27.3,12,18.82
94,Mengsong,2-Mar-13,DRY,27.9,12.3,18.54
95,Mengsong,3-Mar-13,DRY,22.6,12.1,17.09
96,Mengsong,4-Mar-13,DRY,18,13.4,15.57
97,Mengsong,5-Mar-13,DRY,18.9,11.7,15.35
98,Mengsong,6-Mar-13,DRY,23.6,12.1,16.75
99,Mengsong,7-Mar-13,DRY,21.4,11.8,16.28
100,Mengsong,8-Mar-13,DRY,20.4,12.3,15.74
101,Mengsong,9-Mar-13,DRY,22.2,10.2,15.73
102,Mengsong,10-Mar-13,DRY,24,11.8,16.6
103,Mengsong,11-Mar-13,DRY,24.8,9.6,16.09
104,Mengsong,12-Mar-13,DRY,23.9,11.2,16.43
105,Mengsong,13-Mar-13,DRY,23.3,10.4,15.88
106,Mengsong,14-Mar-13,DRY,25.4,10.5,17.12
107,Mengsong,15-Mar-13,DRY,24.8,12.3,18.38
108,Mengsong,16-Mar-13,DRY,25.5,14.3,19.15
109,Mengsong,17-Mar-13,DRY,26.3,13.4,19.13
110,Mengsong,18-Mar-13,DRY,27.2,13.8,19.42
111,Mengsong,19-Mar-13,DRY,25.4,14.6,19.8
112,Mengsong,20-Mar-13,DRY,24.9,10.9,16.81
113,Mengsong,21-Mar-13,DRY,26,9.1,16.58
114,Mengsong,22-Mar-13,DRY,25.8,11.3,17.53
115,Mengsong,23-Mar-13,DRY,24.8,12.8,17.97
116,Mengsong,24-Mar-13,DRY,26.3,13.1,18.53
117,Mengsong,25-Mar-13,DRY,26.8,13.4,19.42
118,Mengsong,26-Mar-13,DRY,27.3,12.4,18.52
119,Mengsong,27-Mar-13,DRY,27.6,12.8,19.83
120,Mengsong,28-Mar-13,DRY,28.8,14.3,20.44
121,Mengsong,29-Mar-13,DRY,28.2,12.9,20.16
122,Mengsong,30-Mar-13,DRY,27.8,15.1,19.9
123,Mengsong,31-Mar-13,DRY,27.5,14.6,19.72
124,Mengsong,1-Apr-13,DRY,26.6,14.4,19.23
125,Mengsong,2-Apr-13,DRY,28.1,13.2,19.78
126,Mengsong,3-Apr-13,DRY,27.5,14.1,20.1
127,Mengsong,4-Apr-13,DRY,27.3,14.4,20.64
128,Mengsong,5-Apr-13,DRY,26.9,16.3,20.99
129,Mengsong,6-Apr-13,DRY,27.1,13.6,19.39
130,Mengsong,7-Apr-13,DRY,28.2,13.3,19.76
131,Mengsong,8-Apr-13,DRY,28.2,13.5,19.66
132,Mengsong,9-Apr-13,DRY,28.3,14.1,20.43
133,Mengsong,10-Apr-13,DRY,27.9,15.4,20.98
134,Mengsong,11-Apr-13,DRY,27.1,18.2,21.83
135,Mengsong,12-Apr-13,DRY,28.9,18.1,22.12
136,Mengsong,13-Apr-13,DRY,27.8,17.5,21.21
137,Mengsong,14-Apr-13,DRY,26.2,16.8,20.38
138,Mengsong,15-Apr-13,DRY,28.2,15.1,21.39
139,Mengsong,16-Apr-13,DRY,25.6,14.7,19.36
140,Mengsong,17-Apr-13,DRY,25.7,13.2,18.85
141,Mengsong,18-Apr-13,DRY,27.2,14.5,19.49
142,Mengsong,19-Apr-13,DRY,27.7,15.2,20.37
143,Mengsong,20-Apr-13,DRY,29.2,14.7,20.61
144,Mengsong,21-Apr-13,DRY,29,15.4,21.72
145,Mengsong,22-Apr-13,DRY,26.4,14.8,21
146,Mengsong,23-Apr-13,DRY,27.9,15.4,20.9
147,Mengsong,24-Apr-13,DRY,26.2,14.9,20.44
148,Mengsong,25-Apr-13,DRY,28.1,17.4,21.61
149,Mengsong,26-Apr-13,DRY,26.3,15.7,20.3
150,Mengsong,27-Apr-13,DRY,27.8,15.4,21.04
151,Mengsong,28-Apr-13,DRY,27.5,15.3,20.04
152,Mengsong,29-Apr-13,DRY,26.4,15.3,20.37
153,Mengsong,30-Apr-13,DRY,28.2,15.3,21.81
154,Mature forest,1-Jun-12,WET,21.628,17.391,19.125
155,Mature forest,2-Jun-12,WET,19.984,16.749,18.575
156,Mature forest,3-Jun-12,WET,21.795,17.677,19.206
157,Mature forest,4-Jun-12,WET,22.585,18.438,19.993
158,Mature forest,5-Jun-12,WET,22.848,16.439,20.158
159,Mature forest,6-Jun-12,WET,23.112,19.555,20.814
160,Mature forest,7-Jun-12,WET,22.034,19.341,20.489
161,Mature forest,8-Jun-12,WET,22.178,17.938,19.406
162,Mature forest,9-Jun-12,WET,20.936,17.986,18.851
163,Mature forest,10-Jun-12,WET,21.461,17.249,18.643
164,Mature forest,11-Jun-12,WET,22.345,17.772,19.521
165,Mature forest,12-Jun-12,WET,22.082,18.913,20.046
166,Mature forest,13-Jun-12,WET,21.772,18.295,19.43
167,Mature forest,14-Jun-12,WET,22.034,18.129,19.56
