for_Plot_SP_Col,For_type.x,PLOT.x,Species.x.x,Coll_No.x.x,Termi.assum.x,n.x,for_Plot.x,for_Plot_SP.x,n_absence,Termi.assum.y,n.y,n_presence
CC_107_Castanopsis_mekongensis_Coll_1,CC,107,Castanopsis_mekongensis,Coll_1,0,5,CC_107,CC_107_Castanopsis_mekongensis,5,1,0,0
CC_107_Castanopsis_mekongensis_Coll_2,CC,107,Castanopsis_mekongensis,Coll_2,0,5,CC_107,CC_107_Castanopsis_mekongensis,5,1,0,0
CC_107_Castanopsis_mekongensis_Coll_3,CC,107,Castanopsis_mekongensis,Coll_3,0,2,CC_107,CC_107_Castanopsis_mekongensis,2,1,3,3
CC_107_Castanopsis_mekongensis_Coll_4,CC,107,Castanopsis_mekongensis,Coll_4,0,0,CC_107,CC_107_Castanopsis_mekongensis,0,1,5,5
CC_107_Castanopsis_mekongensis_Coll_5,CC,107,Castanopsis_mekongensis,Coll_5,0,0,CC_107,CC_107_Castanopsis_mekongensis,0,1,5,5
CC_107_Castanopsis_mekongensis_Coll_6,CC,107,Castanopsis_mekongensis,Coll_6,0,0,CC_107,CC_107_Castanopsis_mekongensis,0,1,5,5
CC_107_Litsea_cubeba_Coll_1,CC,107,Litsea_cubeba,Coll_1,0,4,CC_107,CC_107_Litsea_cubeba,4,1,1,1
CC_107_Litsea_cubeba_Coll_2,CC,107,Litsea_cubeba,Coll_2,0,4,CC_107,CC_107_Litsea_cubeba,4,1,1,1
CC_107_Litsea_cubeba_Coll_3,CC,107,Litsea_cubeba,Coll_3,0,1,CC_107,CC_107_Litsea_cubeba,1,1,4,4
CC_107_Litsea_cubeba_Coll_4,CC,107,Litsea_cubeba,Coll_4,0,2,CC_107,CC_107_Litsea_cubeba,2,1,3,3
CC_107_Litsea_cubeba_Coll_5,CC,107,Litsea_cubeba,Coll_5,0,1,CC_107,CC_107_Litsea_cubeba,1,1,4,4
CC_107_Litsea_cubeba_Coll_6,CC,107,Litsea_cubeba,Coll_6,0,3,CC_107,CC_107_Litsea_cubeba,3,1,2,2
CC_189_Castanopsis_mekongensis_Coll_1,CC,189,Castanopsis_mekongensis,Coll_1,0,5,CC_189,CC_189_Castanopsis_mekongensis,5,1,0,0
CC_189_Castanopsis_mekongensis_Coll_2,CC,189,Castanopsis_mekongensis,Coll_2,0,5,CC_189,CC_189_Castanopsis_mekongensis,5,1,0,0
CC_189_Castanopsis_mekongensis_Coll_3,CC,189,Castanopsis_mekongensis,Coll_3,0,5,CC_189,CC_189_Castanopsis_mekongensis,5,1,0,0
CC_189_Castanopsis_mekongensis_Coll_4,CC,189,Castanopsis_mekongensis,Coll_4,0,3,CC_189,CC_189_Castanopsis_mekongensis,3,1,2,2
CC_189_Castanopsis_mekongensis_Coll_5,CC,189,Castanopsis_mekongensis,Coll_5,0,3,CC_189,CC_189_Castanopsis_mekongensis,3,1,2,2
CC_189_Castanopsis_mekongensis_Coll_6,CC,189,Castanopsis_mekongensis,Coll_6,0,2,CC_189,CC_189_Castanopsis_mekongensis,2,1,3,3
CC_189_Litsea_cubeba_Coll_1,CC,189,Litsea_cubeba,Coll_1,0,4,CC_189,CC_189_Litsea_cubeba,4,1,1,1
CC_189_Litsea_cubeba_Coll_2,CC,189,Litsea_cubeba,Coll_2,0,4,CC_189,CC_189_Litsea_cubeba,4,1,1,1
CC_189_Litsea_cubeba_Coll_3,CC,189,Litsea_cubeba,Coll_3,0,4,CC_189,CC_189_Litsea_cubeba,4,1,1,1
CC_189_Litsea_cubeba_Coll_4,CC,189,Litsea_cubeba,Coll_4,0,4,CC_189,CC_189_Litsea_cubeba,4,1,1,1
CC_189_Litsea_cubeba_Coll_5,CC,189,Litsea_cubeba,Coll_5,0,4,CC_189,CC_189_Litsea_cubeba,4,1,1,1
CC_189_Litsea_cubeba_Coll_6,CC,189,Litsea_cubeba,Coll_6,0,3,CC_189,CC_189_Litsea_cubeba,3,1,2,2
CC_192_Castanopsis_mekongensis_Coll_1,CC,192,Castanopsis_mekongensis,Coll_1,0,4,CC_192,CC_192_Castanopsis_mekongensis,4,1,1,1
CC_192_Castanopsis_mekongensis_Coll_2,CC,192,Castanopsis_mekongensis,Coll_2,0,4,CC_192,CC_192_Castanopsis_mekongensis,4,1,1,1
CC_192_Castanopsis_mekongensis_Coll_3,CC,192,Castanopsis_mekongensis,Coll_3,0,4,CC_192,CC_192_Castanopsis_mekongensis,4,1,1,1
CC_192_Castanopsis_mekongensis_Coll_4,CC,192,Castanopsis_mekongensis,Coll_4,0,4,CC_192,CC_192_Castanopsis_mekongensis,4,1,1,1
CC_192_Castanopsis_mekongensis_Coll_5,CC,192,Castanopsis_mekongensis,Coll_5,0,4,CC_192,CC_192_Castanopsis_mekongensis,4,1,1,1
CC_192_Castanopsis_mekongensis_Coll_6,CC,192,Castanopsis_mekongensis,Coll_6,0,4,CC_192,CC_192_Castanopsis_mekongensis,4,1,1,1
