Species,Pos_soil,PLOT,S_PLOT,Number_days,For_type
Cast_mek,up,145,9,91,OC
Lit_cub,up,145,9,91,OC
Cast_mek,down,145,9,91,OC
Lit_cub,down,145,9,91,OC
Cast_mek,up,217,9,91,CC
Lit_cub,up,217,9,91,CC
Cast_mek,down,217,9,91,CC
Lit_cub,down,217,9,91,CC
Cast_mek,up,126,9,91,OL
Lit_cub,up,126,9,91,OL
Cast_mek,down,126,9,91,OL
Lit_cub,down,126,9,91,OL
Cast_mek,up,381,9,91,OC
Lit_cub,up,381,9,91,OC
Cast_mek,down,381,9,91,OC
Lit_cub,down,381,9,91,OC
Cast_mek,up,382,9,91,OL
Lit_cub,up,382,9,91,OL
Cast_mek,down,382,9,91,OL
Lit_cub,down,382,9,91,OL
Cast_mek,up,365,9,91,CC
Lit_cub,up,365,9,91,CC
Cast_mek,down,365,9,91,CC
Lit_cub,down,365,9,91,CC
Cast_mek,up,259,9,91,OC
Lit_cub,up,259,9,91,OC
Cast_mek,down,259,9,91,OC
Lit_cub,down,259,9,91,OC
Cast_mek,up,240,9,91,CC
Lit_cub,up,240,9,91,CC
Cast_mek,down,240,9,91,CC
Lit_cub,down,240,9,91,CC
Cast_mek,up,90,9,91,OC
Lit_cub,up,90,9,91,OC
Cast_mek,down,90,9,91,OC
Lit_cub,down,90,9,91,OC
Cast_mek,up,75,9,91,CC
Lit_cub,up,75,9,91,CC
Cast_mek,down,75,9,91,CC
Lit_cub,down,75,9,91,CC
Cast_mek,up,357,9,91,OL
Lit_cub,up,357,9,91,OL
Cast_mek,down,357,9,91,OL
Lit_cub,down,357,9,91,OL
Cast_mek,up,83,9,91,OC
Lit_cub,up,83,9,91,OC
Cast_mek,down,83,9,91,OC
Lit_cub,down,83,9,91,OC
Cast_mek,up,119,9,91,OL
Lit_cub,up,119,9,91,OL
Cast_mek,down,119,9,91,OL
Lit_cub,down,119,9,91,OL
Cast_mek,up,404,9,91,CC
Lit_cub,up,404,9,91,CC
Cast_mek,down,404,9,91,CC
Lit_cub,down,404,9,91,CC
Cast_mek,up,58,9,91,OC
Lit_cub,up,58,9,91,OC
Cast_mek,down,58,9,91,OC
Lit_cub,down,58,9,91,OC
Cast_mek,up,192,9,91,CC
Lit_cub,up,192,9,91,CC
Cast_mek,down,192,9,91,CC
Lit_cub,down,192,9,91,CC
Cast_mek,up,372,9,91,OC
Lit_cub,up,372,9,91,OC
Cast_mek,down,372,9,91,OC
Lit_cub,down,372,9,91,OC
Cast_mek,up,398,9,91,CC
Lit_cub,up,398,9,91,CC
Cast_mek,down,398,9,91,CC
Lit_cub,down,398,9,91,CC
Cast_mek,up,234,9,91,OC
Lit_cub,up,234,9,91,OC
Cast_mek,down,234,9,91,OC
Lit_cub,down,234,9,91,OC
Cast_mek,up,214,9,91,CC
Lit_cub,up,214,9,91,CC
Cast_mek,down,214,9,91,CC
Lit_cub,down,214,9,91,CC
Cast_mek,up,405,9,91,OC
Lit_cub,up,405,9,91,OC
Cast_mek,down,405,9,91,OC
Lit_cub,down,405,9,91,OC
Cast_mek,up,207,9,91,OL
Lit_cub,up,207,9,91,OL
Cast_mek,down,207,9,91,OL
Lit_cub,down,207,9,91,OL
Cast_mek,up,189,9,91,CC
Lit_cub,up,189,9,91,CC
Cast_mek,down,189,9,91,CC
Lit_cub,down,189,9,91,CC
Cast_mek,up,49,9,91,OC
Lit_cub,up,49,9,91,OC
Cast_mek,down,49,9,91,OC
Lit_cub,down,49,9,91,OC
Cast_mek,up,107,9,91,CC
Lit_cub,up,107,9,91,CC
Cast_mek,down,107,9,91,CC
Lit_cub,down,107,9,91,CC
Cast_mek,up,271,9,91,OC
Lit_cub,up,271,9,91,OC
Cast_mek,down,271,9,91,OC
Lit_cub,down,271,9,91,OC
Cast_mek,up,7,9,91,OC
Lit_cub,up,7,9,91,OC
Cast_mek,down,7,9,91,OC
Lit_cub,down,7,9,91,OC
Cast_mek,up,145,3,91,OC
Lit_cub,up,145,3,91,OC
Cast_mek,down,145,3,91,OC
Lit_cub,down,145,3,91,OC
Cast_mek,up,217,3,91,CC
Lit_cub,up,217,3,91,CC
Cast_mek,down,217,3,91,CC
Lit_cub,down,217,3,91,CC
Cast_mek,up,126,3,91,OL
Lit_cub,up,126,3,91,OL
Cast_mek,down,126,3,91,OL
Lit_cub,down,126,3,91,OL
Cast_mek,up,381,3,91,OC
Lit_cub,up,381,3,91,OC
Cast_mek,down,381,3,91,OC
Lit_cub,down,381,3,91,OC
Cast_mek,up,382,3,91,OL
Lit_cub,up,382,3,91,OL
Cast_mek,down,382,3,91,OL
Lit_cub,down,382,3,91,OL
Cast_mek,up,365,3,91,CC
Lit_cub,up,365,3,91,CC
Cast_mek,down,365,3,91,CC
Lit_cub,down,365,3,91,CC
Cast_mek,up,259,3,91,OC
Lit_cub,up,259,3,91,OC
Cast_mek,down,259,3,91,OC
Lit_cub,down,259,3,91,OC
Cast_mek,up,240,3,91,CC
Lit_cub,up,240,3,91,CC
Cast_mek,down,240,3,91,CC
Lit_cub,down,240,3,91,CC
Cast_mek,up,90,3,91,OC
Lit_cub,up,90,3,91,OC
Cast_mek,down,90,3,91,OC
Lit_cub,down,90,3,91,OC
Cast_mek,up,75,3,91,CC
Lit_cub,up,75,3,91,CC
Cast_mek,down,75,3,91,CC
Lit_cub,down,75,3,91,CC
Cast_mek,up,357,3,91,OL
Lit_cub,up,357,3,91,OL
Cast_mek,down,357,3,91,OL
Lit_cub,down,357,3,91,OL
Cast_mek,up,83,3,91,OC
Lit_cub,up,83,3,91,OC
Cast_mek,down,83,3,91,OC
Lit_cub,down,83,3,91,OC
